2026-04-02T14:27:10[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:29:15[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:30:16[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:44:53[D][fdc.go:427]: Load Floppy content from file floppy/floppyB.okd.
2026-04-02T14:44:53[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:44:54[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.055ms
2026-04-02T14:44:55[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.976ms
2026-04-02T14:44:56[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.026ms
2026-04-02T14:44:57[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.987ms
2026-04-02T14:44:58[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.987ms
2026-04-02T14:44:59[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.024ms
2026-04-02T14:45:00[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.994ms
2026-04-02T14:45:01[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.004ms
2026-04-02T14:45:02[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.934ms
2026-04-02T14:45:03[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.026ms
2026-04-02T14:45:04[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.979ms
2026-04-02T14:45:05[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.030ms
2026-04-02T14:45:06[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.007ms
2026-04-02T14:45:07[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.962ms
2026-04-02T14:45:08[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.995ms
2026-04-02T14:45:09[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.027ms
2026-04-02T14:45:10[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.964ms
2026-04-02T14:45:11[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.018ms
2026-04-02T14:45:12[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.008ms
2026-04-02T14:45:13[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.933ms
2026-04-02T14:45:14[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.015ms
